Group Number,Arabic Group Name,English Group Name,Operator,Purpose/Usage,Example,Note,Example_Vocalized,is_operator
14,حروف العطف,Coordinating Conjunctions,بَلْ,للإضراب,جَاءَ زَيْدٌ بَلْ عَمْرٌو,إضراب انتقالي,جَاءَ زَيْدٌ بَلْ عَمْرٌو,True
14,حروف العطف,Coordinating Conjunctions,إِمَّا,للتقسيم,إِمَّا زَيْدٌ وَإِمَّا عَمْرٌو,إما العاطفة,إِمَّا زَيْدٌ وَإِمَّا عَمْرٌو,True
1,الجر فقط الدلالية,Prepositions Only (Semantic),مِنَ,للدلالة على ابتداء الغاية,مِنَ الْبَيْتِ,من قبل أداة الوصل,مِنَ الْبَيْتِ,True
4,النداء والاستثناء,Vocative and Exception (Accusative Only),أَيُّهَا,للنداء التعريف,أَيُّهَا النَّاسُ,نداء المعرف,أَيُّهَا النَّاسُ,True
4,النداء والاستثناء,Vocative and Exception (Accusative Only),وَا,للنداء والندبة,وَا زَيْدَاهُ,نداء الندبة,وَا زَيْدَاهُ,True
4,النداء والاستثناء,Vocative and Exception (Accusative Only),آ,للنداء القريب,آ زَيْدُ,نداء متعجب,آ زَيْدُ,True
5,النصب فقط الغائي والنافي,Accusative Only (Purposive and Negating),إِذَنْ,للجواب والجزاء,إِذَنْ أَنْجَحَ,مثل إذاً,إِذَنْ أَنْجَحَ,True
5,النصب فقط الغائي والنافي,Accusative Only (Purposive and Negating),أََنْ,للمصدرية,يُرِيدُ أَنْ يَنْجَحَ,أن بفتحة مضاعفة,يُرِيدُ أَنْ يَنْجَحَ,True
0,المبنيات غير العوامل,Non-Operator Mabniyas,نَعَمْ,حرف جواب,نَعَمْ فَعَلْتُ,نعم: حرف جواب,نَعَمْ فَعَلْتُ,False
0,المبنيات غير العوامل,Non-Operator Mabniyas,هَيَّا,اسم فعل أمر,هَيَّا إِلَى الصَّلَاةِ,هَيَّا: اسم فعل,هَيَّا إِلَى الصَّلَاةِ,False
0,المبنيات غير العوامل,Non-Operator Mabniyas,هِيهَاتَ,اسم فعل ماضٍ,هِيهَاتَ لِمَا تُوعَدُونَ,هيهات: بُعد,هِيهَاتَ لِمَا تُوعَدُونَ,False
0,المبنيات غير العوامل,Non-Operator Mabniyas,ذَو,اسم موصول,ذَو عِلْمٍ,ذو الموصولة,ذَو عِلْمٍ,False
0,المبنيات غير العوامل,Non-Operator Mabniyas,مَاْ,اسم موصول,مَاْ فَعَلْتَهُ,ما الموصولة بسكون,مَاْ فَعَلْتَهُ,False
0,المبنيات غير العوامل,Non-Operator Mabniyas,ما,اسم استفهام أو موصول,مَا فَعَلْتَ,ما المجردة,مَا فَعَلْتَ,False
0,المبنيات غير العوامل,Non-Operator Mabniyas,الَّلَتَيْنِ,مبني غير عامل,مثال,مبني,مثال,False
0,المبنيات غير العوامل,Non-Operator Mabniyas,ذَيْنِ,مبني غير عامل,مثال,مبني,مثال,False
0,المبنيات غير العوامل,Non-Operator Mabniyas,هَاذُوْلَاْ,مبني غير عامل,مثال,مبني,مثال,False
0,المبنيات غير العوامل,Non-Operator Mabniyas,الَلَّذَيْنِ,مبني غير عامل,مثال,مبني,مثال,False
0,المبنيات غير العوامل,Non-Operator Mabniyas,أيّ,مبني غير عامل,مثال,مبني,مثال,False
0,المبنيات غير العوامل,Non-Operator Mabniyas,أُوْلَاْءِ,مبني غير عامل,مثال,مبني,مثال,False
0,المبنيات غير العوامل,Non-Operator Mabniyas,ذَاْتِ,مبني غير عامل,مثال,مبني,مثال,False
0,المبنيات غير العوامل,Non-Operator Mabniyas,كَمَاْ,مبني غير عامل,مثال,مبني,مثال,False
0,المبنيات غير العوامل,Non-Operator Mabniyas,الَّلَذَانِ,مبني غير عامل,مثال,مبني,مثال,False
0,المبنيات غير العوامل,Non-Operator Mabniyas,ثَم,مبني غير عامل,مثال,مبني,مثال,False
0,المبنيات غير العوامل,Non-Operator Mabniyas,ثَمََّتَ,مبني غير عامل,مثال,مبني,مثال,False
0,المبنيات غير العوامل,Non-Operator Mabniyas,الَّلَاْتِيْ,مبني غير عامل,مثال,مبني,مثال,False
0,المبنيات غير العوامل,Non-Operator Mabniyas,ذَاهَ,مبني غير عامل,مثال,مبني,مثال,False
0,المبنيات غير العوامل,Non-Operator Mabniyas,تِه,مبني غير عامل,مثال,مبني,مثال,False
0,المبنيات غير العوامل,Non-Operator Mabniyas,الَّلَتَانِ,مبني غير عامل,مثال,مبني,مثال,False
0,المبنيات غير العوامل,Non-Operator Mabniyas,هات,مبني غير عامل,مثال,مبني,مثال,False
0,المبنيات غير العوامل,Non-Operator Mabniyas,ذَاْ,مبني غير عامل,مثال,مبني,مثال,False
0,المبنيات غير العوامل,Non-Operator Mabniyas,أَيَّْنَ,مبني غير عامل,مثال,مبني,مثال,False
0,المبنيات غير العوامل,Non-Operator Mabniyas,ثَمََّ,مبني غير عامل,مثال,مبني,مثال,False
0,المبنيات غير العوامل,Non-Operator Mabniyas,هُوْمَاْ,مبني غير عامل,مثال,مبني,مثال,False
0,المبنيات غير العوامل,Non-Operator Mabniyas,هِيْمَاْ,مبني غير عامل,مثال,مبني,مثال,False
0,المبنيات غير العوامل,Non-Operator Mabniyas,كََائِنْ,مبني غير عامل,مثال,مبني,مثال,False
0,المبنيات غير العوامل,Non-Operator Mabniyas,تِلْكُمُ,مبني غير عامل,مثال,مبني,مثال,False
0,المبنيات غير العوامل,Non-Operator Mabniyas,هُنَاكَة,مبني غير عامل,مثال,مبني,مثال,False
0,المبنيات غير العوامل,Non-Operator Mabniyas,ثََمََّةَ,مبني غير عامل,مثال,مبني,مثال,False
14,حروف العطف,Coordinating Conjunctions,لَكِنْ,للاستدراك,جاء زيدٌ لَكِنْ عمرٌ لم يَجِئْ,لكن الخفيفة: حرف عطف,جَاءَ زَيْدٌ لَكِنْ عَمْرٌو لَمْ يَجِئْ,True
1,الجر فقط الدلالية,Prepositions Only (Semantic),لَ,لام التعليل,جئت لَ أتعلَّمَ,لام الفتح: حرف جر للتعليل,جِئْتُ لَ أَتَعَلَّمَ,True
7,الشرط الجازمة فقط,Conditional (Jussive Only),أَيَّانَ,للشرط الزماني,أَيَّانَ تَسْأَلْنِي أُجِبْكَ,أَيَّانَ: اسم شرط جازم لزمان المستقبل,أَيَّانَ تَسْأَلْنِي أُجِبْكَ,True
